Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,,,win team,lose team,Wloc
Wed Nov 2 2016,7:00 PM,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,15275,,,-16,,Charlotte Hornets,Philadelphia 76ers,H
Wed Nov 2 2016,10:30 PM,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,19060,,,2,,Oklahoma City Thunder,Los Angeles Clippers,V
Wed Nov 2 2016,8:00 PM,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,15881,,,-6,,Memphis Grizzlies,New Orleans Pelicans,H
Wed Nov 2 2016,7:30 PM,Houston Rockets,118,New York Knicks,99,Box Score,,19812,,,19,,Houston Rockets,New York Knicks,V
Wed Nov 2 2016,10:00 PM,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,17284,,,-3,,Phoenix Suns,Portland Trail Blazers,H
Wed Nov 2 2016,9:00 PM,Dallas Mavericks,81,Utah Jazz,97,Box Score,,19318,,,-16,,Utah Jazz,Dallas Mavericks,H
Wed Nov 2 2016,7:00 PM,Toronto Raptors,113,Washington Wizards,103,Box Score,,19581,,,10,,Toronto Raptors,Washington Wizards,V
Thu Nov 3 2016,8:00 PM,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,20562,,,-6,,Cleveland Cavaliers,Boston Celtics,H
Thu Nov 3 2016,10:30 PM,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,19596,,,-26,,Golden State Warriors,Oklahoma City Thunder,H
Thu Nov 3 2016,8:00 PM,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,11374,,,-18,,Milwaukee Bucks,Indiana Pacers,H
Thu Nov 3 2016,8:00 PM,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,11219,,,3,,Denver Nuggets,Minnesota Timberwolves,V
Thu Nov 3 2016,7:00 PM,Sacramento Kings,94,Orlando Magic,102,Box Score,,17026,,,-8,,Orlando Magic,Sacramento Kings,H
Fri Nov 4 2016,7:30 PM,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,,15775,,,4,,Charlotte Hornets,Brooklyn Nets,V
Fri Nov 4 2016,8:00 PM,New York Knicks,117,Chicago Bulls,104,Box Score,,22376,,,13,,New York Knicks,Chicago Bulls,V
Fri Nov 4 2016,8:30 PM,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,,19475,,,10,,Portland Trail Blazers,Dallas Mavericks,V
Fri Nov 4 2016,10:30 PM,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,,18997,,,-20,,Los Angeles Lakers,Golden State Warriors,H
Fri Nov 4 2016,8:00 PM,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,,17115,,,11,,Los Angeles Clippers,Memphis Grizzlies,V
Fri Nov 4 2016,8:00 PM,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,OT,15379,,,1,,Phoenix Suns,New Orleans Pelicans,V
Fri Nov 4 2016,7:30 PM,Miami Heat,87,Toronto Raptors,96,Box Score,,19800,,,-9,,Toronto Raptors,Miami Heat,H
Fri Nov 4 2016,9:00 PM,San Antonio Spurs,100,Utah Jazz,86,Box Score,,19911,,,14,,San Antonio Spurs,Utah Jazz,V
Fri Nov 4 2016,7:00 PM,Atlanta Hawks,92,Washington Wizards,95,Box Score,,14663,,,-3,,Washington Wizards,Atlanta Hawks,H
Sat Nov 5 2016,7:30 PM,Houston Rockets,97,Atlanta Hawks,112,Box Score,,16895,,,-15,,Atlanta Hawks,Houston Rockets,H
Sat Nov 5 2016,7:00 PM,Denver Nuggets,86,Detroit Pistons,103,Box Score,,16218,,,-17,,Detroit Pistons,Denver Nuggets,H
Sat Nov 5 2016,7:00 PM,Chicago Bulls,94,Indiana Pacers,111,Box Score,,17020,,,-17,,Indiana Pacers,Chicago Bulls,H
Sat Nov 5 2016,8:00 PM,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,,16021,,,-26,,Milwaukee Bucks,Sacramento Kings,H
Sat Nov 5 2016,6:00 PM,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,,18203,,,-20,,Oklahoma City Thunder,Minnesota Timberwolves,H
