Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Wed Oct 25 2017,7:00 PM,Houston Rockets,105,Philadelphia 76ers,104,Box Score,,20682,,,Houston Rockets,Philadelphia 76ers
Wed Oct 25 2017,10:00 PM,Utah Jazz,88,Phoenix Suns,97,Box Score,,16022,,,Utah Jazz,Phoenix Suns
Thu Oct 26 2017,8:00 PM,Atlanta Hawks,86,Chicago Bulls,91,Box Score,,21104,,,Atlanta Hawks,Chicago Bulls
Thu Oct 26 2017,8:00 PM,Dallas Mavericks,91,Memphis Grizzlies,96,Box Score,,15839,,,Dallas Mavericks,Memphis Grizzlies
Thu Oct 26 2017,8:00 PM,Boston Celtics,96,Milwaukee Bucks,89,Box Score,,11046,,,Boston Celtics,Milwaukee Bucks
Thu Oct 26 2017,10:00 PM,Los Angeles Clippers,104,Portland Trail Blazers,103,Box Score,,18694,,,Los Angeles Clippers,Portland Trail Blazers
Thu Oct 26 2017,10:30 PM,New Orleans Pelicans,114,Sacramento Kings,106,Box Score,,17583,,,New Orleans Pelicans,Sacramento Kings
Fri Oct 27 2017,7:30 PM,Denver Nuggets,105,Atlanta Hawks,100,Box Score,,16220,,,Denver Nuggets,Atlanta Hawks
Fri Oct 27 2017,7:00 PM,Houston Rockets,109,Charlotte Hornets,93,Box Score,,17339,,,Houston Rockets,Charlotte Hornets
Fri Oct 27 2017,10:30 PM,Washington Wizards,117,Golden State Warriors,120,Box Score,,19596,,,Washington Wizards,Golden State Warriors
Fri Oct 27 2017,10:30 PM,Toronto Raptors,101,Los Angeles Lakers,92,Box Score,,17876,,,Toronto Raptors,Los Angeles Lakers
Fri Oct 27 2017,8:00 PM,Oklahoma City Thunder,116,Minnesota Timberwolves,119,Box Score,,17620,,,Oklahoma City Thunder,Minnesota Timberwolves
Fri Oct 27 2017,7:30 PM,Brooklyn Nets,86,New York Knicks,107,Box Score,,19812,,,Brooklyn Nets,New York Knicks
Fri Oct 27 2017,7:00 PM,San Antonio Spurs,87,Orlando Magic,114,Box Score,,17337,,,San Antonio Spurs,Orlando Magic
Sat Oct 28 2017,8:00 PM,Oklahoma City Thunder,101,Chicago Bulls,69,Box Score,,21706,,,Oklahoma City Thunder,Chicago Bulls
