Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Sat Dec 9 2017,9:00 PM,Oklahoma City Thunder,102,Memphis Grizzlies,101,Box Score,OT,17794,,,Oklahoma City Thunder,Memphis Grizzlies
Sat Dec 9 2017,8:30 PM,Utah Jazz,100,Milwaukee Bucks,117,Box Score,,16675,,,Utah Jazz,Milwaukee Bucks
Sat Dec 9 2017,9:00 PM,San Antonio Spurs,104,Phoenix Suns,101,Box Score,,16575,,,San Antonio Spurs,Phoenix Suns
Sat Dec 9 2017,10:00 PM,Houston Rockets,124,Portland Trail Blazers,117,Box Score,,19503,,,Houston Rockets,Portland Trail Blazers
Sun Dec 10 2017,4:00 PM,Boston Celtics,91,Detroit Pistons,81,Box Score,,18776,,,Boston Celtics,Detroit Pistons
Sun Dec 10 2017,5:00 PM,Denver Nuggets,116,Indiana Pacers,126,Box Score,OT,14587,,,Denver Nuggets,Indiana Pacers
Sun Dec 10 2017,7:00 PM,Dallas Mavericks,92,Minnesota Timberwolves,97,Box Score,,13094,,,Dallas Mavericks,Minnesota Timberwolves
Sun Dec 10 2017,7:00 PM,Philadelphia 76ers,124,New Orleans Pelicans,131,Box Score,,16878,,,Philadelphia 76ers,New Orleans Pelicans
Sun Dec 10 2017,7:30 PM,Atlanta Hawks,107,New York Knicks,111,Box Score,,19189,,,Atlanta Hawks,New York Knicks
Sun Dec 10 2017,3:30 PM,Toronto Raptors,102,Sacramento Kings,87,Box Score,,17583,,,Toronto Raptors,Sacramento Kings
Mon Dec 11 2017,8:00 PM,Boston Celtics,85,Chicago Bulls,108,Box Score,,19617,,,Boston Celtics,Chicago Bulls
Mon Dec 11 2017,10:30 PM,Portland Trail Blazers,104,Golden State Warriors,111,Box Score,,19596,,,Portland Trail Blazers,Golden State Warriors
Mon Dec 11 2017,8:00 PM,New Orleans Pelicans,123,Houston Rockets,130,Box Score,,18055,,,New Orleans Pelicans,Houston Rockets
Mon Dec 11 2017,10:30 PM,Toronto Raptors,91,Los Angeles Clippers,96,Box Score,,16658,,,Toronto Raptors,Los Angeles Clippers
Mon Dec 11 2017,8:00 PM,Miami Heat,107,Memphis Grizzlies,82,Box Score,,14857,,,Miami Heat,Memphis Grizzlies
Mon Dec 11 2017,8:00 PM,Charlotte Hornets,116,Oklahoma City Thunder,103,Box Score,,18203,,,Charlotte Hornets,Oklahoma City Thunder
Tue Dec 12 2017,7:30 PM,Washington Wizards,98,Brooklyn Nets,103,Box Score,,14515,,,Washington Wizards,Brooklyn Nets
Tue Dec 12 2017,7:00 PM,Atlanta Hawks,114,Cleveland Cavaliers,123,Box Score,,20562,,,Atlanta Hawks,Cleveland Cavaliers
Tue Dec 12 2017,8:30 PM,San Antonio Spurs,89,Dallas Mavericks,95,Box Score,,19874,,,San Antonio Spurs,Dallas Mavericks
Tue Dec 12 2017,7:00 PM,Denver Nuggets,103,Detroit Pistons,84,Box Score,,15480,,,Denver Nuggets,Detroit Pistons
Tue Dec 12 2017,9:30 PM,Philadelphia 76ers,118,Minnesota Timberwolves,112,Box Score,OT,14659,,,Philadelphia 76ers,Minnesota Timberwolves
Tue Dec 12 2017,7:00 PM,Los Angeles Lakers,109,New York Knicks,113,Box Score,OT,19359,,,Los Angeles Lakers,New York Knicks
Tue Dec 12 2017,10:00 PM,Phoenix Suns,92,Sacramento Kings,99,Box Score,,17583,,,Phoenix Suns,Sacramento Kings
Wed Dec 13 2017,7:30 PM,Denver Nuggets,118,Boston Celtics,124,Box Score,,18624,,,Denver Nuggets,Boston Celtics
Wed Dec 13 2017,8:00 PM,Utah Jazz,100,Chicago Bulls,103,Box Score,,18102,,,Utah Jazz,Chicago Bulls
Wed Dec 13 2017,9:30 PM,Charlotte Hornets,96,Houston Rockets,108,Box Score,,16509,,,Charlotte Hornets,Houston Rockets
Wed Dec 13 2017,7:00 PM,Oklahoma City Thunder,100,Indiana Pacers,95,Box Score,,17923,,,Oklahoma City Thunder,Indiana Pacers
Wed Dec 13 2017,7:30 PM,Portland Trail Blazers,102,Miami Heat,95,Box Score,,19600,,,Portland Trail Blazers,Miami Heat
Wed Dec 13 2017,8:00 PM,Milwaukee Bucks,108,New Orleans Pelicans,115,Box Score,,16863,,,Milwaukee Bucks,New Orleans Pelicans
Wed Dec 13 2017,7:00 PM,Los Angeles Clippers,106,Orlando Magic,95,Box Score,,16011,,,Los Angeles Clippers,Orlando Magic
Wed Dec 13 2017,9:00 PM,Toronto Raptors,115,Phoenix Suns,109,Box Score,,15517,,,Toronto Raptors,Phoenix Suns
Wed Dec 13 2017,7:00 PM,Memphis Grizzlies,87,Washington Wizards,93,Box Score,,15297,,,Memphis Grizzlies,Washington Wizards
Thu Dec 14 2017,7:30 PM,Detroit Pistons,105,Atlanta Hawks,91,Box Score,,13548,,,Detroit Pistons,Atlanta Hawks
Thu Dec 14 2017,7:30 PM,New York Knicks,111,Brooklyn Nets,104,Box Score,,17732,,,New York Knicks,Brooklyn Nets
Thu Dec 14 2017,8:00 PM,Los Angeles Lakers,112,Cleveland Cavaliers,121,Box Score,,20562,,,Los Angeles Lakers,Cleveland Cavaliers
Thu Dec 14 2017,10:30 PM,Dallas Mavericks,97,Golden State Warriors,112,Box Score,,19596,,,Dallas Mavericks,Golden State Warriors
Thu Dec 14 2017,8:00 PM,Sacramento Kings,96,Minnesota Timberwolves,119,Box Score,,11126,,,Sacramento Kings,Minnesota Timberwolves
Fri Dec 15 2017,7:30 PM,Utah Jazz,107,Boston Celtics,95,Box Score,,18624,,,Utah Jazz,Boston Celtics
Fri Dec 15 2017,7:00 PM,Miami Heat,104,Charlotte Hornets,98,Box Score,,15565,,,Miami Heat,Charlotte Hornets
Fri Dec 15 2017,9:00 PM,New Orleans Pelicans,111,Denver Nuggets,117,Box Score,OT,17584,,,New Orleans Pelicans,Denver Nuggets
Fri Dec 15 2017,9:30 PM,San Antonio Spurs,109,Houston Rockets,124,Box Score,,18055,,,San Antonio Spurs,Houston Rockets
Fri Dec 15 2017,7:00 PM,Detroit Pistons,104,Indiana Pacers,98,Box Score,,14687,,,Detroit Pistons,Indiana Pacers
Fri Dec 15 2017,8:00 PM,Atlanta Hawks,94,Memphis Grizzlies,96,Box Score,,15803,,,Atlanta Hawks,Memphis Grizzlies
Fri Dec 15 2017,8:00 PM,Chicago Bulls,115,Milwaukee Bucks,109,Box Score,,16921,,,Chicago Bulls,Milwaukee Bucks
Fri Dec 15 2017,7:00 PM,Portland Trail Blazers,95,Orlando Magic,88,Box Score,,16963,,,Portland Trail Blazers,Orlando Magic
Fri Dec 15 2017,7:00 PM,Oklahoma City Thunder,119,Philadelphia 76ers,117,Box Score,3OT,20612,,,Oklahoma City Thunder,Philadelphia 76ers
Fri Dec 15 2017,7:30 PM,Brooklyn Nets,87,Toronto Raptors,120,Box Score,,19800,,,Brooklyn Nets,Toronto Raptors
Fri Dec 15 2017,7:00 PM,Los Angeles Clippers,91,Washington Wizards,100,Box Score,,15442,,,Los Angeles Clippers,Washington Wizards
Sat Dec 16 2017,7:00 PM,Portland Trail Blazers,93,Charlotte Hornets,91,Box Score,,16687,,,Portland Trail Blazers,Charlotte Hornets
Sat Dec 16 2017,7:30 PM,Utah Jazz,100,Cleveland Cavaliers,109,Box Score,,20562,,,Utah Jazz,Cleveland Cavaliers
Sat Dec 16 2017,8:00 PM,Milwaukee Bucks,111,Houston Rockets,115,Box Score,,18055,,,Milwaukee Bucks,Houston Rockets
Sat Dec 16 2017,9:00 PM,Boston Celtics,102,Memphis Grizzlies,93,Box Score,,17794,,,Boston Celtics,Memphis Grizzlies
Sat Dec 16 2017,8:00 PM,Los Angeles Clippers,85,Miami Heat,90,Box Score,,19600,,,Los Angeles Clippers,Miami Heat
Sat Dec 16 2017,8:00 PM,Phoenix Suns,108,Minnesota Timberwolves,106,Box Score,,18109,,,Phoenix Suns,Minnesota Timberwolves
Sat Dec 16 2017,7:30 PM,Oklahoma City Thunder,96,New York Knicks,111,Box Score,,19812,,,Oklahoma City Thunder,New York Knicks
Sat Dec 16 2017,8:30 PM,Dallas Mavericks,96,San Antonio Spurs,98,Box Score,,18418,,,Dallas Mavericks,San Antonio Spurs
Sun Dec 17 2017,6:00 PM,Indiana Pacers,109,Brooklyn Nets,97,Box Score,,13934,,,Indiana Pacers,Brooklyn Nets
Sun Dec 17 2017,4:00 PM,Orlando Magic,110,Detroit Pistons,114,Box Score,,16312,,,Orlando Magic,Detroit Pistons
Sun Dec 17 2017,3:30 PM,Sacramento Kings,93,Toronto Raptors,108,Box Score,,19800,,,Sacramento Kings,Toronto Raptors
Sun Dec 17 2017,6:00 PM,Cleveland Cavaliers,106,Washington Wizards,99,Box Score,,20356,,,Cleveland Cavaliers,Washington Wizards
Mon Dec 18 2017,7:30 PM,Miami Heat,104,Atlanta Hawks,110,Box Score,,14227,,,Miami Heat,Atlanta Hawks
Mon Dec 18 2017,8:00 PM,Philadelphia 76ers,115,Chicago Bulls,117,Box Score,,20796,,,Philadelphia 76ers,Chicago Bulls
Mon Dec 18 2017,7:00 PM,New York Knicks,91,Charlotte Hornets,109,Box Score,,15386,,,New York Knicks,Charlotte Hornets
Mon Dec 18 2017,8:30 PM,Phoenix Suns,97,Dallas Mavericks,91,Box Score,,19245,,,Phoenix Suns,Dallas Mavericks
Mon Dec 18 2017,8:00 PM,Utah Jazz,99,Houston Rockets,120,Box Score,,18055,,,Utah Jazz,Houston Rockets
Mon Dec 18 2017,7:00 PM,Boston Celtics,112,Indiana Pacers,111,Box Score,,16055,,,Boston Celtics,Indiana Pacers
Mon Dec 18 2017,10:30 PM,Golden State Warriors,116,Los Angeles Lakers,114,Box Score,OT,18997,,,Golden State Warriors,Los Angeles Lakers
Mon Dec 18 2017,8:00 PM,Portland Trail Blazers,107,Minnesota Timberwolves,108,Box Score,,14187,,,Portland Trail Blazers,Minnesota Timberwolves
Mon Dec 18 2017,8:00 PM,Denver Nuggets,94,Oklahoma City Thunder,95,Box Score,,18203,,,Denver Nuggets,Oklahoma City Thunder
Mon Dec 18 2017,8:30 PM,Los Angeles Clippers,91,San Antonio Spurs,109,Box Score,,18418,,,Los Angeles Clippers,San Antonio Spurs
Tue Dec 19 2017,8:00 PM,Cleveland Cavaliers,116,Milwaukee Bucks,119,Box Score,,18717,,,Cleveland Cavaliers,Milwaukee Bucks
Tue Dec 19 2017,7:00 PM,Sacramento Kings,101,Philadelphia 76ers,95,Box Score,,20558,,,Sacramento Kings,Philadelphia 76ers
Tue Dec 19 2017,7:00 PM,New Orleans Pelicans,106,Washington Wizards,116,Box Score,,16529,,,New Orleans Pelicans,Washington Wizards
Wed Dec 20 2017,7:30 PM,Indiana Pacers,105,Atlanta Hawks,95,Box Score,,14830,,,Indiana Pacers,Atlanta Hawks
Wed Dec 20 2017,7:30 PM,Miami Heat,90,Boston Celtics,89,Box Score,,18624,,,Miami Heat,Boston Celtics
Wed Dec 20 2017,7:30 PM,Sacramento Kings,104,Brooklyn Nets,99,Box Score,,13179,,,Sacramento Kings,Brooklyn Nets
Wed Dec 20 2017,8:00 PM,Orlando Magic,94,Chicago Bulls,112,Box Score,,20285,,,Orlando Magic,Chicago Bulls
Wed Dec 20 2017,7:00 PM,Toronto Raptors,129,Charlotte Hornets,111,Box Score,,15023,,,Toronto Raptors,Charlotte Hornets
Wed Dec 20 2017,8:30 PM,Detroit Pistons,93,Dallas Mavericks,110,Box Score,,19580,,,Detroit Pistons,Dallas Mavericks
Wed Dec 20 2017,9:00 PM,Minnesota Timberwolves,112,Denver Nuggets,104,Box Score,,17002,,,Minnesota Timberwolves,Denver Nuggets
Wed Dec 20 2017,10:30 PM,Memphis Grizzlies,84,Golden State Warriors,97,Box Score,,19596,,,Memphis Grizzlies,Golden State Warriors
Wed Dec 20 2017,8:00 PM,Los Angeles Lakers,122,Houston Rockets,116,Box Score,,18055,,,Los Angeles Lakers,Houston Rockets
Wed Dec 20 2017,10:30 PM,Phoenix Suns,95,Los Angeles Clippers,108,Box Score,,17151,,,Phoenix Suns,Los Angeles Clippers
Wed Dec 20 2017,8:00 PM,Utah Jazz,79,Oklahoma City Thunder,107,Box Score,,18203,,,Utah Jazz,Oklahoma City Thunder
Wed Dec 20 2017,10:00 PM,San Antonio Spurs,93,Portland Trail Blazers,91,Box Score,,19393,,,San Antonio Spurs,Portland Trail Blazers
Thu Dec 21 2017,7:00 PM,Chicago Bulls,112,Cleveland Cavaliers,115,Box Score,,20562,,,Chicago Bulls,Cleveland Cavaliers
Thu Dec 21 2017,8:00 PM,Boston Celtics,93,New York Knicks,102,Box Score,,19812,,,Boston Celtics,New York Knicks
Thu Dec 21 2017,7:00 PM,Toronto Raptors,114,Philadelphia 76ers,109,Box Score,,20680,,,Toronto Raptors,Philadelphia 76ers
Thu Dec 21 2017,9:00 PM,Memphis Grizzlies,95,Phoenix Suns,97,Box Score,,16339,,,Memphis Grizzlies,Phoenix Suns
Thu Dec 21 2017,10:30 PM,San Antonio Spurs,89,Utah Jazz,100,Box Score,,18306,,,San Antonio Spurs,Utah Jazz
Fri Dec 22 2017,7:30 PM,Washington Wizards,84,Brooklyn Nets,119,Box Score,,15589,,,Washington Wizards,Brooklyn Nets
Fri Dec 22 2017,7:00 PM,New York Knicks,101,Detroit Pistons,104,Box Score,,16922,,,New York Knicks,Detroit Pistons
Fri Dec 22 2017,10:30 PM,Los Angeles Lakers,106,Golden State Warriors,113,Box Score,,19596,,,Los Angeles Lakers,Golden State Warriors
Fri Dec 22 2017,8:00 PM,Los Angeles Clippers,128,Houston Rockets,118,Box Score,,18055,,,Los Angeles Clippers,Houston Rockets
Fri Dec 22 2017,8:00 PM,Dallas Mavericks,101,Miami Heat,113,Box Score,,19600,,,Dallas Mavericks,Miami Heat
Fri Dec 22 2017,8:00 PM,Charlotte Hornets,104,Milwaukee Bucks,109,Box Score,,17018,,,Charlotte Hornets,Milwaukee Bucks
Fri Dec 22 2017,8:00 PM,Atlanta Hawks,117,Oklahoma City Thunder,120,Box Score,,18203,,,Atlanta Hawks,Oklahoma City Thunder
Fri Dec 22 2017,7:00 PM,New Orleans Pelicans,111,Orlando Magic,97,Box Score,,18846,,,New Orleans Pelicans,Orlando Magic
Fri Dec 22 2017,10:00 PM,Denver Nuggets,102,Portland Trail Blazers,85,Box Score,,19473,,,Denver Nuggets,Portland Trail Blazers
Sat Dec 23 2017,7:30 PM,Dallas Mavericks,107,Atlanta Hawks,112,Box Score,,13402,,,Dallas Mavericks,Atlanta Hawks
Sat Dec 23 2017,7:30 PM,Chicago Bulls,92,Boston Celtics,117,Box Score,,18624,,,Chicago Bulls,Boston Celtics
Sat Dec 23 2017,7:00 PM,Milwaukee Bucks,106,Charlotte Hornets,111,Box Score,,18363,,,Milwaukee Bucks,Charlotte Hornets
Sat Dec 23 2017,8:30 PM,Denver Nuggets,96,Golden State Warriors,81,Box Score,,19596,,,Denver Nuggets,Golden State Warriors
Sat Dec 23 2017,7:00 PM,Brooklyn Nets,119,Indiana Pacers,123,Box Score,OT,17107,,,Brooklyn Nets,Indiana Pacers
Sat Dec 23 2017,9:30 PM,Portland Trail Blazers,95,Los Angeles Lakers,92,Box Score,,18997,,,Portland Trail Blazers,Los Angeles Lakers
Sat Dec 23 2017,8:00 PM,Los Angeles Clippers,112,Memphis Grizzlies,115,Box Score,,16844,,,Los Angeles Clippers,Memphis Grizzlies
Sat Dec 23 2017,8:00 PM,New Orleans Pelicans,109,Miami Heat,94,Box Score,,19600,,,New Orleans Pelicans,Miami Heat
Sat Dec 23 2017,9:00 PM,Minnesota Timberwolves,115,Phoenix Suns,106,Box Score,,16482,,,Minnesota Timberwolves,Phoenix Suns
Sat Dec 23 2017,10:00 PM,San Antonio Spurs,108,Sacramento Kings,99,Box Score,,17583,,,San Antonio Spurs,Sacramento Kings
Sat Dec 23 2017,5:00 PM,Philadelphia 76ers,86,Toronto Raptors,102,Box Score,,19800,,,Philadelphia 76ers,Toronto Raptors
Sat Dec 23 2017,8:00 PM,Oklahoma City Thunder,103,Utah Jazz,89,Box Score,,18306,,,Oklahoma City Thunder,Utah Jazz
Sat Dec 23 2017,7:00 PM,Orlando Magic,103,Washington Wizards,130,Box Score,,17218,,,Orlando Magic,Washington Wizards
Mon Dec 25 2017,5:30 PM,Washington Wizards,111,Boston Celtics,103,Box Score,,18624,,,Washington Wizards,Boston Celtics
Mon Dec 25 2017,3:00 PM,Cleveland Cavaliers,92,Golden State Warriors,99,Box Score,,19596,,,Cleveland Cavaliers,Golden State Warriors
Mon Dec 25 2017,10:30 PM,Minnesota Timberwolves,121,Los Angeles Lakers,104,Box Score,,18997,,,Minnesota Timberwolves,Los Angeles Lakers
Mon Dec 25 2017,12:00 PM,Philadelphia 76ers,105,New York Knicks,98,Box Score,,19812,,,Philadelphia 76ers,New York Knicks
Mon Dec 25 2017,8:00 PM,Houston Rockets,107,Oklahoma City Thunder,112,Box Score,,18203,,,Houston Rockets,Oklahoma City Thunder
Tue Dec 26 2017,7:00 PM,Toronto Raptors,93,Dallas Mavericks,98,Box Score,,20005,,,Toronto Raptors,Dallas Mavericks
Tue Dec 26 2017,9:00 PM,Utah Jazz,83,Denver Nuggets,107,Box Score,,17104,,,Utah Jazz,Denver Nuggets
Tue Dec 26 2017,7:00 PM,Indiana Pacers,83,Detroit Pistons,107,Box Score,,20491,,,Indiana Pacers,Detroit Pistons
Tue Dec 26 2017,10:30 PM,Sacramento Kings,95,Los Angeles Clippers,122,Box Score,,16393,,,Sacramento Kings,Los Angeles Clippers
Tue Dec 26 2017,7:30 PM,Orlando Magic,89,Miami Heat,107,Box Score,,19600,,,Orlando Magic,Miami Heat
Tue Dec 26 2017,8:00 PM,Chicago Bulls,115,Milwaukee Bucks,106,Box Score,,18717,,,Chicago Bulls,Milwaukee Bucks
Tue Dec 26 2017,9:00 PM,Memphis Grizzlies,97,Phoenix Suns,99,Box Score,,17105,,,Memphis Grizzlies,Phoenix Suns
Tue Dec 26 2017,8:30 PM,Brooklyn Nets,97,San Antonio Spurs,109,Box Score,,18492,,,Brooklyn Nets,San Antonio Spurs
Wed Dec 27 2017,7:30 PM,Washington Wizards,99,Atlanta Hawks,113,Box Score,,15763,,,Washington Wizards,Atlanta Hawks
Wed Dec 27 2017,8:00 PM,New York Knicks,87,Chicago Bulls,92,Box Score,,21883,,,New York Knicks,Chicago Bulls
Wed Dec 27 2017,7:00 PM,Boston Celtics,102,Charlotte Hornets,91,Box Score,,19611,,,Boston Celtics,Charlotte Hornets
Wed Dec 27 2017,10:30 PM,Utah Jazz,101,Golden State Warriors,126,Box Score,,19596,,,Utah Jazz,Golden State Warriors
Wed Dec 27 2017,7:00 PM,Dallas Mavericks,98,Indiana Pacers,94,Box Score,,17923,,,Dallas Mavericks,Indiana Pacers
Wed Dec 27 2017,10:30 PM,Memphis Grizzlies,109,Los Angeles Lakers,99,Box Score,,18997,,,Memphis Grizzlies,Los Angeles Lakers
Wed Dec 27 2017,8:00 PM,Denver Nuggets,125,Minnesota Timberwolves,128,Box Score,OT,18978,,,Denver Nuggets,Minnesota Timberwolves
Wed Dec 27 2017,8:00 PM,Brooklyn Nets,113,New Orleans Pelicans,128,Box Score,,16707,,,Brooklyn Nets,New Orleans Pelicans
Wed Dec 27 2017,8:00 PM,Toronto Raptors,107,Oklahoma City Thunder,124,Box Score,,18203,,,Toronto Raptors,Oklahoma City Thunder
Wed Dec 27 2017,10:00 PM,Cleveland Cavaliers,95,Sacramento Kings,109,Box Score,,17583,,,Cleveland Cavaliers,Sacramento Kings
Thu Dec 28 2017,8:00 PM,Houston Rockets,98,Boston Celtics,99,Box Score,,18624,,,Houston Rockets,Boston Celtics
Thu Dec 28 2017,8:00 PM,Minnesota Timberwolves,96,Milwaukee Bucks,102,Box Score,,18717,,,Minnesota Timberwolves,Milwaukee Bucks
Thu Dec 28 2017,7:00 PM,Detroit Pistons,89,Orlando Magic,102,Box Score,,18846,,,Detroit Pistons,Orlando Magic
Thu Dec 28 2017,10:30 PM,Philadelphia 76ers,110,Portland Trail Blazers,114,Box Score,,20104,,,Philadelphia 76ers,Portland Trail Blazers
Thu Dec 28 2017,8:30 PM,New York Knicks,107,San Antonio Spurs,119,Box Score,,18935,,,New York Knicks,San Antonio Spurs
Fri Dec 29 2017,8:00 PM,Indiana Pacers,107,Chicago Bulls,119,Box Score,,21178,,,Indiana Pacers,Chicago Bulls
Fri Dec 29 2017,10:30 PM,Charlotte Hornets,111,Golden State Warriors,100,Box Score,,19596,,,Charlotte Hornets,Golden State Warriors
Fri Dec 29 2017,10:30 PM,Los Angeles Clippers,121,Los Angeles Lakers,106,Box Score,,18997,,,Los Angeles Clippers,Los Angeles Lakers
Fri Dec 29 2017,8:00 PM,Brooklyn Nets,111,Miami Heat,87,Box Score,,19600,,,Brooklyn Nets,Miami Heat
Fri Dec 29 2017,8:00 PM,Dallas Mavericks,128,New Orleans Pelicans,120,Box Score,,16878,,,Dallas Mavericks,New Orleans Pelicans
Fri Dec 29 2017,8:00 PM,Milwaukee Bucks,97,Oklahoma City Thunder,95,Box Score,,18203,,,Milwaukee Bucks,Oklahoma City Thunder
Fri Dec 29 2017,10:00 PM,Phoenix Suns,111,Sacramento Kings,101,Box Score,,17583,,,Phoenix Suns,Sacramento Kings
Fri Dec 29 2017,7:30 PM,Atlanta Hawks,98,Toronto Raptors,111,Box Score,,19800,,,Atlanta Hawks,Toronto Raptors
Fri Dec 29 2017,7:00 PM,Houston Rockets,103,Washington Wizards,121,Box Score,,20356,,,Houston Rockets,Washington Wizards
Sat Dec 30 2017,7:30 PM,Portland Trail Blazers,89,Atlanta Hawks,104,Box Score,,15877,,,Portland Trail Blazers,Atlanta Hawks
Sat Dec 30 2017,9:00 PM,Philadelphia 76ers,107,Denver Nuggets,102,Box Score,,19599,,,Philadelphia 76ers,Denver Nuggets
Sat Dec 30 2017,7:00 PM,San Antonio Spurs,79,Detroit Pistons,93,Box Score,,19671,,,San Antonio Spurs,Detroit Pistons
Sat Dec 30 2017,8:30 PM,Memphis Grizzlies,128,Golden State Warriors,141,Box Score,,19596,,,Memphis Grizzlies,Golden State Warriors
Sat Dec 30 2017,7:00 PM,New York Knicks,105,New Orleans Pelicans,103,Box Score,,16947,,,New York Knicks,New Orleans Pelicans
Sat Dec 30 2017,7:00 PM,Miami Heat,117,Orlando Magic,111,Box Score,,18846,,,Miami Heat,Orlando Magic
Sat Dec 30 2017,8:00 PM,Cleveland Cavaliers,101,Utah Jazz,104,Box Score,,18306,,,Cleveland Cavaliers,Utah Jazz
Sun Dec 31 2017,5:30 PM,Brooklyn Nets,105,Boston Celtics,108,Box Score,,18624,,,Brooklyn Nets,Boston Celtics
Sun Dec 31 2017,7:00 PM,Los Angeles Lakers,142,Houston Rockets,148,Box Score,2OT,18179,,,Los Angeles Lakers,Houston Rockets
Sun Dec 31 2017,5:00 PM,Minnesota Timberwolves,107,Indiana Pacers,90,Box Score,,17923,,,Minnesota Timberwolves,Indiana Pacers
Sun Dec 31 2017,7:00 PM,Charlotte Hornets,98,Los Angeles Clippers,106,Box Score,,17348,,,Charlotte Hornets,Los Angeles Clippers
Sun Dec 31 2017,7:00 PM,Dallas Mavericks,116,Oklahoma City Thunder,113,Box Score,,18203,,,Dallas Mavericks,Oklahoma City Thunder
Sun Dec 31 2017,8:00 PM,Philadelphia 76ers,123,Phoenix Suns,110,Box Score,,16983,,,Philadelphia 76ers,Phoenix Suns
Sun Dec 31 2017,7:00 PM,Memphis Grizzlies,114,Sacramento Kings,96,Box Score,,17583,,,Memphis Grizzlies,Sacramento Kings
Sun Dec 31 2017,3:30 PM,Chicago Bulls,110,Washington Wizards,114,Box Score,,20356,,,Chicago Bulls,Washington Wizards
Mon Jan 1 2018,7:30 PM,Orlando Magic,95,Brooklyn Nets,98,Box Score,,16164,,,Orlando Magic,Brooklyn Nets
Mon Jan 1 2018,8:00 PM,Portland Trail Blazers,124,Chicago Bulls,120,Box Score,OT,20860,,,Portland Trail Blazers,Chicago Bulls
Mon Jan 1 2018,8:00 PM,Los Angeles Lakers,96,Minnesota Timberwolves,114,Box Score,,18978,,,Los Angeles Lakers,Minnesota Timberwolves
Mon Jan 1 2018,7:30 PM,Milwaukee Bucks,127,Toronto Raptors,131,Box Score,OT,19800,,,Milwaukee Bucks,Toronto Raptors
Tue Jan 2 2018,7:00 PM,Portland Trail Blazers,110,Cleveland Cavaliers,127,Box Score,,20562,,,Portland Trail Blazers,Cleveland Cavaliers
Tue Jan 2 2018,10:30 PM,Memphis Grizzlies,105,Los Angeles Clippers,113,Box Score,,15711,,,Memphis Grizzlies,Los Angeles Clippers
Tue Jan 2 2018,7:30 PM,San Antonio Spurs,100,New York Knicks,91,Box Score,,19812,,,San Antonio Spurs,New York Knicks
Tue Jan 2 2018,9:00 PM,Atlanta Hawks,103,Phoenix Suns,104,Box Score,,15921,,,Atlanta Hawks,Phoenix Suns
Tue Jan 2 2018,10:00 PM,Charlotte Hornets,131,Sacramento Kings,111,Box Score,,17583,,,Charlotte Hornets,Sacramento Kings
Wed Jan 3 2018,8:00 PM,Cleveland Cavaliers,88,Boston Celtics,102,Box Score,,18624,,,Cleveland Cavaliers,Boston Celtics
Wed Jan 3 2018,7:30 PM,Minnesota Timberwolves,97,Brooklyn Nets,98,Box Score,,16215,,,Minnesota Timberwolves,Brooklyn Nets
Wed Jan 3 2018,8:00 PM,Toronto Raptors,124,Chicago Bulls,115,Box Score,,20056,,,Toronto Raptors,Chicago Bulls
Wed Jan 3 2018,8:30 PM,Golden State Warriors,125,Dallas Mavericks,122,Box Score,,20212,,,Golden State Warriors,Dallas Mavericks
Wed Jan 3 2018,9:00 PM,Phoenix Suns,111,Denver Nuggets,134,Box Score,,14079,,,Phoenix Suns,Denver Nuggets
Wed Jan 3 2018,10:30 PM,Oklahoma City Thunder,133,Los Angeles Lakers,96,Box Score,,18997,,,Oklahoma City Thunder,Los Angeles Lakers
Wed Jan 3 2018,7:30 PM,Detroit Pistons,104,Miami Heat,111,Box Score,,19600,,,Detroit Pistons,Miami Heat
Wed Jan 3 2018,8:00 PM,Indiana Pacers,101,Milwaukee Bucks,122,Box Score,,15613,,,Indiana Pacers,Milwaukee Bucks
Wed Jan 3 2018,7:00 PM,Houston Rockets,116,Orlando Magic,98,Box Score,,18588,,,Houston Rockets,Orlando Magic
Wed Jan 3 2018,7:00 PM,San Antonio Spurs,106,Philadelphia 76ers,112,Box Score,,20642,,,San Antonio Spurs,Philadelphia 76ers
Wed Jan 3 2018,9:00 PM,New Orleans Pelicans,108,Utah Jazz,98,Box Score,,18306,,,New Orleans Pelicans,Utah Jazz
Wed Jan 3 2018,7:00 PM,New York Knicks,103,Washington Wizards,121,Box Score,,17206,,,New York Knicks,Washington Wizards
Thu Jan 4 2018,8:00 PM,Golden State Warriors,124,Houston Rockets,114,Box Score,,18055,,,Golden State Warriors,Houston Rockets
Thu Jan 4 2018,10:30 PM,Oklahoma City Thunder,127,Los Angeles Clippers,117,Box Score,,19068,,,Oklahoma City Thunder,Los Angeles Clippers
Fri Jan 5 2018,7:00 PM,Minnesota Timberwolves,84,Boston Celtics,91,Box Score,,18624,,,Minnesota Timberwolves,Boston Celtics
Fri Jan 5 2018,8:30 PM,Chicago Bulls,127,Dallas Mavericks,124,Box Score,,20073,,,Chicago Bulls,Dallas Mavericks
Fri Jan 5 2018,9:00 PM,Utah Jazz,91,Denver Nuggets,99,Box Score,,15557,,,Utah Jazz,Denver Nuggets
Fri Jan 5 2018,10:30 PM,Charlotte Hornets,108,Los Angeles Lakers,94,Box Score,,18997,,,Charlotte Hornets,Los Angeles Lakers
